CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
AAA001;tussen Groot en Klein Ruwiel;NL11;;;M6b;127008;465322;;;lijnvormig;;FYTPTKRW_MACEVKRW_MACFTKRW_Overig-fychem_ZOOPTGBD;;KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;2000;2000-EAG-7;NL11_1_1
AAA100;mp macrofauna;NL11;;;M6b;126671;465746;;;lijnvormig;;MACEVKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
ABA001;Angstel te Braambrugge;NL11;;;M6b;127887;473251;;;lijnvormig;;DROOG_MACFTKRW_Overig-fychem_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;2000;2000-EAG-4;NL11_1_1
ABC001;Abcoudermeer zwembad;NL11;;;M6b;126336;476789;;;lijnvormig;;Overig-fychem_ZWEM;;Onderzoek_Zwemwater;;FYCHEM;;Water;46;2000-EAG-4;NL11_1_1
ABC002;ten Z.voorm zwembad, einde weg;NL11;ABC002P;;M6b;126358;476723;;;lijnvormig;;ADHOC_BEDWAT_DIEPTE-FYCHEM_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOndCHEM_MACFTGBD_MAC;;Evaluatie_KRW_Onderzoek_VMplassen_Zwemwater;;FYCHEM_HYBI;;Veen;2000;2000-EAG-4;NL11_1_1
ABC003;sloot ten noordwesten van Waterlelie;NL11;;;M1a;126744;476675;;;lijnvormig;;NAB;;Evaluatie;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC004;sloot naast dr. Sloetlaan bij brug;NL11;;;M8;126544;475622;;;lijnvormig;;NAB_ROUTPEBS-WGP;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;2410;2410-EAG-2;
ABC005;Koppeldijk;NL11;;;M8;126742;475699;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-3;
ABC006;paadje achter van Voorthuijsenhof;NL11;;;M8;126234;475832;;;lijnvormig;;PWH-WGP_ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Zware klei;2410;2410-EAG-2;
ABC007;Janshof 35-74;NL11;;;M8;126279;476244;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2410-EAG-2;
ABC008;Torenlaan;NL11;;;M8;126539;475988;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;2410;2410-EAG-2;
ABC009;Ruwelspad;NL11;;;M1a;126537;476881;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Veen;46;2230-EAG-2;
ABC010;Zilverschoon;NL11;;;M1a;126752;476610;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;2230;2230-EAG-2;
ABC011;Ereprijs;NL11;;;M1a;126891;476720;;;lijnvormig;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ADM001;nieuwe vaart;NL11;;;M6b;124549;486698;;;lijnvormig;;historieMACEV_historieMACFT_Overig-fychem_ROUTINE;;Evaluatie_Onderzoek;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-4;NL11_2_1
ADM002;j.v.hasseltkanaal;NL11;;;;122045;489850;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM003;Van Tienhovengr.Plein 40-45;NL11;;;M6b;116514;488004;;;lijnvormig;;Overig-fychem_ROUTINE;;Evaluatie_Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-2;NL11_2_1
ADM004;Oude Kerksplein;NL11;;;M6b;121710;487444;;;lijnvormig;;historieDIAT_historieFYTPT_historieMACEV_historieMACFT_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWT;;Evaluatie_KRW_Onderzoek_Watergebiedsplannen;;FYCHEM_HYBI;;Bebouwing;1000;1000-EAG-1;NL11_2_1
ADM005;zijkanaal 1 klaprozenbrug;NL11;;;;121812;490516;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;;;
ADM006;Onderz stadswater Adam mei/jun 1991;NL11;;;M6b;125296;486682;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;45;1000-EAG-4;NL11_2_1
ADM007;Onderz stadswater Adam mei/jun 1992;NL11;;;;122652;487935;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Water;;;
ADM008;Pr. Hendrikkade/Oude Schans;NL11;;;M6b;122338;487301;;;lijnvormig;;Overig-fychem;;Onderzoek;;FYCHEM;;Bebouwing;1000;1000-EAG-3;NL11_2_1
