Identificatie;Namespace;Omschrijving;GeometriePunt.X_RD;GeometriePunt.Y_RD;KRWwatertype.code;LigtInGeoobject.identificatie;HoortBijGeoobject.identificatie;Wegingsfactor;jaar
ERP003_PTN_2015;NL11;dummyMeetpuntVoorToetsing;118392;487507;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2015
ERP002_PTN_2015;NL11;dummyMeetpuntVoorToetsing;118462;487660;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2015
ERP001_PTN_2015;NL11;dummyMeetpuntVoorToetsing;118668;487520;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2015
ERP001_PTN_2021;NL11;dummyMeetpuntVoorToetsing;118668;487520;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2021
ERP002_PTN_2021;NL11;dummyMeetpuntVoorToetsing;118462;487660;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2021
ERP003_PTN_2021;NL11;dummyMeetpuntVoorToetsing;118392;487507;M11;nietNodig;NL11_1010-EAG-1;0.333333333;2021
OBP004_PTN_2012;NL11;dummyMeetpuntVoorToetsing;120231;488893;M11;nietNodig;NL11_1020-EAG-1;1;2012
WPK101_PTN_2015;NL11;dummyMeetpuntVoorToetsing;120254;488893;M11;nietNodig;NL11_1020-EAG-1;1;2015
WPK101_PTN_2018;NL11;dummyMeetpuntVoorToetsing;120254;488893;M11;nietNodig;NL11_1020-EAG-1;1;2018
WPK101_PTN_2021;NL11;dummyMeetpuntVoorToetsing;120254;488893;M11;nietNodig;NL11_1020-EAG-1;1;2021
HTV101_PTN_2016;NL11;dummyMeetpuntVoorToetsing;118305.1245;484197.4708;M3;nietNodig;NL11_1030-EAG-1;0.5;2016
HTV102_PTN_2016;NL11;dummyMeetpuntVoorToetsing;118344;484495;M3;nietNodig;NL11_1030-EAG-1;0.5;2016
HTV102_PTN_2019;NL11;dummyMeetpuntVoorToetsing;118344;484495;M3;nietNodig;NL11_1030-EAG-1;0.5;2019
HTV101_PTN_2019;NL11;dummyMeetpuntVoorToetsing;118305.1245;484197.4708;M3;nietNodig;NL11_1030-EAG-1;0.5;2019
HTV102_PTN_2022;NL11;dummyMeetpuntVoorToetsing;118344;484495;M3;nietNodig;NL11_1030-EAG-1;0.5;2022
HTV101_PTN_2022;NL11;dummyMeetpuntVoorToetsing;118305.1245;484197.4708;M3;nietNodig;NL11_1030-EAG-1;0.5;2022
SPZ101_PTN_2016;NL11;dummyMeetpuntVoorToetsing;118444;483816;M3;nietNodig;NL11_1050-EAG-1;1;2016
SPZ101_PTN_2019;NL11;dummyMeetpuntVoorToetsing;118444;483816;M3;nietNodig;NL11_1050-EAG-1;1;2019
SPZ101_PTN_2022;NL11;dummyMeetpuntVoorToetsing;118444;483816;M3;nietNodig;NL11_1050-EAG-1;1;2022
VOP004_PTN_2015;NL11;dummyMeetpuntVoorToetsing;119791;485659;M11;nietNodig;NL11_1060-EAG-1;0.25;2015
VOP002_PTN_2015;NL11;dummyMeetpuntVoorToetsing;119017;485536;M11;nietNodig;NL11_1060-EAG-1;0.25;2015
VOP003_PTN_2015;NL11;dummyMeetpuntVoorToetsing;120097;485898;M11;nietNodig;NL11_1060-EAG-1;0.25;2015
VOP008_PTN_2015;NL11;dummyMeetpuntVoorToetsing;119561;485389;M11;nietNodig;NL11_1060-EAG-1;0.25;2015
VOP002_PTN_2021;NL11;dummyMeetpuntVoorToetsing;119017;485536;M11;nietNodig;NL11_1060-EAG-1;0.25;2021
VOP004_PTN_2021;NL11;dummyMeetpuntVoorToetsing;119791;485659;M11;nietNodig;NL11_1060-EAG-1;0.25;2021
VOP008_PTN_2021;NL11;dummyMeetpuntVoorToetsing;119561;485389;M11;nietNodig;NL11_1060-EAG-1;0.25;2021
VOP003_PTN_2021;NL11;dummyMeetpuntVoorToetsing;120097;485898;M11;nietNodig;NL11_1060-EAG-1;0.25;2021
DMP124_PTN_2015;NL11;dummyMeetpuntVoorToetsing;126717;484988;M8;nietNodig;NL11_2010-EAG-1;0.2;2015
DMP116_PTN_2015;NL11;dummyMeetpuntVoorToetsing;127104;484140;M8;nietNodig;NL11_2010-EAG-1;0.2;2015
DMP125_PTN_2015;NL11;dummyMeetpuntVoorToetsing;126371;484912;M8;nietNodig;NL11_2010-EAG-1;0.2;2015
DMP109_PTN_2015;NL11;dummyMeetpuntVoorToetsing;127863;484228;M8;nietNodig;NL11_2010-EAG-1;0.2;2015
DMP111_PTN_2015;NL11;dummyMeetpuntVoorToetsing;128265.2219;483898.2062;M8;nietNodig;NL11_2010-EAG-1;0.2;2015
DMP111_PTN_2018;NL11;dummyMeetpuntVoorToetsing;128265.2219;483898.2062;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP109_PTN_2018;NL11;dummyMeetpuntVoorToetsing;127863;484228;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP125_PTN_2018;NL11;dummyMeetpuntVoorToetsing;126371;484912;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP116_PTN_2018;NL11;dummyMeetpuntVoorToetsing;127104;484140;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP124_PTN_2018;NL11;dummyMeetpuntVoorToetsing;126717;484988;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP113_PTN_2018;NL11;dummyMeetpuntVoorToetsing;127237;484309;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2018
DMP109_PTN_2021;NL11;dummyMeetpuntVoorToetsing;127863;484228;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2021
DMP111_PTN_2021;NL11;dummyMeetpuntVoorToetsing;128265.2219;483898.2062;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2021
DMP113_PTN_2021;NL11;dummyMeetpuntVoorToetsing;127237;484309;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2021
DMP124_PTN_2021;NL11;dummyMeetpuntVoorToetsing;126717;484988;M8;nietNodig;NL11_2010-EAG-1;0.166666667;2021
