"Identificatie";"Namespace";"Omschrijving";"GeometriePunt.X_RD";"GeometriePunt.Y_RD";"KRWwatertype.code";"LigtInGeoobject.identificatie";"HoortBijGeoobject.identificatie";"Wegingsfactor";"jaar"
"ADM110_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_VaartenAmsterdam";431378;"2006"
"mpDum_1000-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_VaartenAmsterdam";431378;"2006"
"KVV100_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_VaartenAmsterdam";431378;"2006"
"mpDum_1000-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_VaartenAmsterdam";254225;"2006"
"mpDum_1000-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_VaartenAmsterdam";181101;"2006"
"mpDum_2000-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";357992;"2006"
"ADM136_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";357992;"2006"
"ANG103_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";246072;"2006"
"mpDum_2000-DGV-10_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";246072;"2006"
"mpDum_2000-DGV-11_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";277009;"2006"
"WAV101_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";277009;"2006"
"WIN101_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";277009;"2006"
"mpDum_2000-DGV-12_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";1079190;"2006"
"AAA101_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";108699;"2006"
"GEE103_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";108699;"2006"
"mpDum_2000-DGV-13_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";108699;"2006"
"mpDum_2000-DGV-15_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";252610;"2006"
"mpDum_2000-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";412550;"2006"
"WTV107_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";412550;"2006"
"mpDum_2000-DGV-5_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M6b";"nietNodig";"NL11_Amstellandboezem";283748;"2006"
"mpDum_2120-DGV-5_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M1a";"nietNodig";"NL11_Bovenkerkerpolder";501828;"2006"
"mpDum_2130-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M1a";"nietNodig";"NL11_Noorderlegmeer";280780;"2006"
"2220-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Gaasperplas";399520;"2006"
"2220-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Gaasperplas";11229;"2006"
"2220-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Gaasperplas";204196;"2006"
"2250-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Ouderkerkerplas";438036;"2006"
"2250-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Ouderkerkerplas";15987;"2006"
"2250-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Ouderkerkerplas";275378;"2006"
"mpDum_2400-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_VaartenRondeHoep";147576;"2006"
"mpDum_2400-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_VaartenRondeHoep";187407;"2006"
"mpDum_2400-DGV-5_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_VaartenRondeHoep";93808;"2006"
"mpDum_2400-DGV-7_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_VaartenRondeHoep";107402;"2006"
"mpDum_2500-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M10";"nietNodig";"NL11_Tussenboezema";293780;"2006"
"GWV354_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M10";"nietNodig";"NL11_Tussenboezema";293780;"2006"
"2500-DGV-11_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";3875796;"2006"
"2500-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";31486;"2006"
"2500-DGV-5_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";335506;"2006"
"2500-DGV-6_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";70216;"2006"
"2500-DGV-7_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";2826526;"2006"
"2500-DGV-8_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";1671903;"2006"
"2500-DGV-9_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Vinkeveenseplassen";182687;"2006"
"mpDum_2501-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_PolderDemmerik";298015;"2006"
"mpDum_2501-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M8";"nietNodig";"NL11_PolderDemmerik";611005;"2006"
"mpDum_2510-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M10";"nietNodig";"NL11_GrootWilnis-VinkeveenZuid";913148;"2006"
"GWV426_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M10";"nietNodig";"NL11_GrootWilnis-VinkeveenZuid";191558;"2006"
"GWV428_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M10";"nietNodig";"NL11_GrootWilnis-VinkeveenZuid";175707;"2006"
"mpDum_2540-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M1a";"nietNodig";"NL11_VaartenGrootMijdrec";722747;"2006"
"PGM186_VIS_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M1a";"nietNodig";"NL11_VaartenGrootMijdrec";230351;"2006"
"2550-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_Botshol";38936;"2006"
"2550-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_Botshol";701809;"2006"
"2550-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_Botshol";19501;"2006"
"2550-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_Botshol";77727;"2006"
"mpDum_2600-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M1a";"nietNodig";"NL11_VaartenZevenhoven";193146;"2006"
"mpDum_3000-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M7b";"nietNodig";"NL11_Vecht";1179520;"2006"
"mpDum_3000-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M7b";"nietNodig";"NL11_Vecht";1145617;"2006"
"3200-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Spiegelplas";1757577;"2006"
"3200-DGV-2_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Spiegelplas";52152;"2006"
"3200-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_Spiegelplas";745891;"2006"
"3201-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_StichtsAnkeveen";53668;"2006"
"3201-DGV-3_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_StichtsAnkeveen";847798;"2006"
"3201-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_StichtsAnkeveen";24284;"2006"
"3201-DGV-7_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_StichtsAnkeveen";222962;"2006"
"3230-DGV-1_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_HetHol";33555;"2006"
"3230-DGV-12_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_WijdeGat";814144;"2006"
"3230-DGV-13_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_HilversumsKanaal";20019;"2006"
"3230-DGV-16_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_HilversumsKanaal";169326;"2006"
"3230-DGV-17_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_HilversumsKanaal";450583;"2006"
"3230-DGV-4_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M27";"nietNodig";"NL11_HetHol";190415;"2006"
"3230-DGV-5_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_WijdeBlik";1606746;"2006"
"3230-DGV-6_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_WijdeBlik";36807;"2006"
"3230-DGV-8_2006";"NL11";"dummyMeetpuntVoorToetsing";123456;456789;"M20";"nietNodig";"NL11_WijdeBlik";1167340;"2006"
