GeoObject.code;HoortBijGeoobject.identificatie;Waardebepalingsmethode;GHPR;gebied;HandelingsperspectiefWBP;Doel_2022;brondoel_2022;c
NL11_1_1;NL11_Amstellandboezem;Fytoplankton;Fytoplankton-kwaliteit;;;0.64;KRW_2027;
NL11_1_1;NL11_Amstellandboezem;Macrofauna;Macrofauna-kwaliteit;;;0.47;KRW_2027;
NL11_1_1;NL11_Amstellandboezem;Vis;Vis-kwaliteit;;;0.71;KRW_2027;
NL11_1_1;NL11_Amstellandboezem;Ov. waterflora;Overige waterflora-kwaliteit;;;0.38;KRW_2027;
;NL11_1010-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;1010-EAG-1;;0.25;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_1020-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;1020-EAG-1;;0.133666667;actuele toestand 2020 + 0.05;
;NL11_1030-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;1030-EAG-1;;0.2189;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_1050-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;1050-EAG-1;;0.302;actuele toestand 2020 + 0.05;
;NL11_1060-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;1060-EAG-1;;0.28335;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
NL11_1_2;NL11_Vecht;Ov. waterflora;Overige waterflora-kwaliteit;;;0.38;KRW_2027;
NL11_1_2;NL11_Vecht;Fytoplankton;Fytoplankton-kwaliteit;;;0.63;KRW_2027;
NL11_1_2;NL11_Vecht;Macrofauna;Macrofauna-kwaliteit;;;0.61;KRW_2027;
NL11_1_2;NL11_Vecht;Vis;Vis-kwaliteit;;;0.8;KRW_2027;
;NL11_2010-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2010-EAG-1;;0.39995;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2010-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2010-EAG-2;;0.4175;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2020-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2020-EAG-1;;0.2454;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2030-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2030-EAG-1;;0.302866667;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2040-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2040-EAG-1;;0.09;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2050-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2050-EAG-1;;0.05;actuele toestand 2020 + 0.05;
;NL11_2100-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2100-EAG-1;0.11;0.48;referentietoestand;
;NL11_2110-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-1;0.21;0.378143333;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2110-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-2;0.21;0.459;actuele toestand 2020 + 0.05;
;NL11_2110-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-3;0.21;0.313708333;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2110-EAG-4;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-4;0.21;0.258075;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2110-EAG-5;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-5;0.21;0.316757143;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2110-EAG-6;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-6;0.21;0.49705;;
;NL11_2110-EAG-7;Ov. waterflora;Overige waterflora-kwaliteit;2110-EAG-7;;;;
NL11_2_1;NL11_VaartenAmsterdam;Ov. waterflora;Overige waterflora-kwaliteit;;;0.2;KRW_2027;
NL11_2_1;NL11_VaartenAmsterdam;Fytoplankton;Fytoplankton-kwaliteit;;;0.78;KRW_2027;
NL11_2_1;NL11_VaartenAmsterdam;Macrofauna;Macrofauna-kwaliteit;;;0.36;KRW_2027;
;NL11_2120-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2120-EAG-2;;0.52;WGP_Westeramstel;
;NL11_2120-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2120-EAG-3;;0.52;WGP_Westeramstel;
NL11_2_1;NL11_VaartenAmsterdam;Vis;Vis-kwaliteit;;;0.41;KRW_2027;
NL11_2_10;NL11_PolderDemmerik;Macrofauna;Macrofauna-kwaliteit;;;0.29;KRW_2027;
NL11_2_10;NL11_PolderDemmerik;Vis;Vis-kwaliteit;;;0.8;KRW_2027;
;NL11_2130-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2130-EAG-2;0.07;0.53;WGP_Westeramstel;
;NL11_2130-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2130-EAG-3;0.07;0.53;WGP_Westeramstel;
;NL11_2130-EAG-4;Ov. waterflora;Overige waterflora-kwaliteit;2130-EAG-4;;;;
;NL11_2140-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-1;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-2;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-3;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-3;Fytoplankton;Abundantie fytoplankton;2140-EAG-3;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-4;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-4;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-5;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-5;;0.44;WGP_Westeramstel;
;NL11_2140-EAG-6;Ov. waterflora;Overige waterflora-kwaliteit;2140-EAG-6;;0.44;WGP_Westeramstel;
;NL11_2150-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2150-EAG-1;;;;
;NL11_2150-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2150-EAG-2;0.05;0.46;WGP_Westeramstel;
;NL11_2150-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2150-EAG-3;0.05;0.46;WGP_Westeramstel;
;NL11_2160-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2160-EAG-1;;0.103333333;actuele toestand 2020 + 0.05;
;NL11_2200-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2200-EAG-1;;0.218866667;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2210-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2210-EAG-1;;0.1296;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
NL11_2_10;NL11_PolderDemmerik;Ov. waterflora;Overige waterflora-kwaliteit;;0.1;0.5;KRW_2027;
NL11_2_11;NL11_GrootWilnis-VinkeveenZuid;Fytoplankton;Fytoplankton-kwaliteit;;;0.46;KRW_2027;
NL11_2_11;NL11_GrootWilnis-VinkeveenZuid;Macrofauna;Macrofauna-kwaliteit;;;0.39;KRW_2027;
NL11_2_11;NL11_GrootWilnis-VinkeveenZuid;Vis;Vis-kwaliteit;;;0.8;KRW_2027;
;NL11_2220-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-2;0.1;0.395894949;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2220-EAG-3;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-3;0.1;0.3761;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2220-EAG-4;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-4;;0.348233333;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2220-EAG-5;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-5;;0.395894949;doel eag-2;
;NL11_2220-EAG-6;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-6;;0.395894949;doel eag-2;
;NL11_2220-EAG-7;Ov. waterflora;Overige waterflora-kwaliteit;2220-EAG-7;;0.395894949;doel eag-2;
;NL11_2230-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2230-EAG-1;0.08;0.517590758;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2230-EAG-2;Ov. waterflora;Overige waterflora-kwaliteit;2230-EAG-2;0.08;0.128225;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
;NL11_2240-EAG-1;Ov. waterflora;Overige waterflora-kwaliteit;2240-EAG-1;0.1;0.456266667;actuele toestand 2020 + gemiddelde 90p-50p tussen 2006 en 2019;
NL11_2_11;NL11_GrootWilnis-VinkeveenZuid;Ov. waterflora;Overige waterflora-kwaliteit;;0.17;0.49;KRW_2027;
