GHPR;level;ML;GHPR_level;JIPJAN
Fytoplankton-kwaliteit;1;1F;1F1 Fytoplankton-kwaliteit;
Abundantie fytoplankton;2;1F;1F2 Abundantie fytoplankton;
Soortensamenstelling fytoplankton;2;1F;1F2 Soortensamenstelling fytoplankton;
(massa)Concentratie chlorofyl-a;3;1F;1F3 (massa)Concentratie chlorofyl-a;
Aantal per volume Fytopl. - bloeisoort (01-02) Planktothrix agardhii;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (01-02) Planktothrix agardhii;
Aantal per volume Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg;
Aantal per volume Fytopl. - bloeisoort (07-08) Microcystis;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (07-08) Microcystis;
Aantal per volume Fytopl. - bloeisoort (09) Microcystis wesenbergii;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (09) Microcystis wesenbergii;
Aantal per volume Fytopl. - bloeisoort (10) Scenedesmus soortenarm;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (10) Scenedesmus soortenarm;
Aantal per volume Fytopl. - bloeisoort (14) Aphanizomenon gracile;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (14) Aphanizomenon gracile;
Aantal per volume Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (15) klein Chlorococcales soortenrijk;
Aantal per volume Fytopl. - bloeisoort (19) kleine Cryptophyceae;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (19) kleine Cryptophyceae;
Aantal per volume Fytopl. - bloeisoort (20) Cryptomonas;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (20) Cryptomonas;
Aantal per volume Fytopl. - bloeisoort (21) Skeletonema;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (21) Skeletonema;
Aantal per volume Fytopl. - bloeisoort (22) Diatoma tenuis;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (22) Diatoma tenuis;
Aantal per volume Fytopl. - bloeisoort (23) klein Chlorococcales soortenrijk;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (23) klein Chroococcales soortenrijk;
Aantal per volume Fytopl. - bloeisoort (24-25) Aphanizomenon flos-aquae;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (24-25) Aphanizomenon flos-aquae;
Aantal per volume Fytopl. - bloeisoort (26) Anabaena;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (26) Anabaena;
Aantal per volume Fytopl. - bloeisoort (27) Aulacoseira granulata/ambigua;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (27) Aulacoseira granulata/ambigua;
Aantal per volume Fytopl. - bloeisoort (34) Woronichinia naegeliana;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (34) Woronichinia naegeliana;
Aantal per volume Fytopl. - bloeisoort (35) Chrysochromulina parva;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (35) Chrysochromulina parva;
Aantal per volume Fytopl. - bloeisoort (36) Cyclotella radiosa;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (36) Cyclotella radiosa;
Aantal per volume Fytopl. - bloeisoort (37) Asterionella formosa;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (37) Asterionella formosa;
Aantal per volume Fytopl. - bloeisoort (41) Cyclotella ocellata;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (41) Cyclotella ocellata;
Aantal per volume Fytopl. - bloeisoort (43) Synura;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (43) Synura;
Aantal per volume Fytopl. - bloeisoort (44) Mallomonas;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (44) Mallomonas;
Aantal per volume Fytopl. - bloeisoort (45) Dinobryon;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (45) Dinobryon;
Aantal per volume Fytopl. - bloeisoort (46) Ochromonas;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (46) Ochromonas;
Aantal per volume Fytopl. - bloeisoort (47) thecate dinoflagellaten Ceratium;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (47) thecate dinoflagellaten Ceratium;
Aantal per volume Fytopl. - bloeisoort (48) thecate dinoflagellaten Peridinium;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (48) thecate dinoflagellaten Peridinium;
Aantal per volume Fytopl. - bloeisoort (23) klein Chroococcales soortenrijk;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (23) klein Chroococcales soortenrijk;
Aantal per volume Fytopl. - bloeisoort (52) Chlorococcales;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (52) Chlorococcales;
Aantal per volume Fytopl. - bloeisoort (57) Syncrypta;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (57) Syncrypta;
Aantal per volume Fytopl. - bloeisoort (54) Chlamydomonas;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (54) Chlamydomonas;
Aantal per volume Fytopl. - bloeisoort (11) Cyclotella meneghiniana;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (11) Cyclotella meneghiniana;
Aantal per volume Fytopl. - bloeisoort (30) Ankyra;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (30) Ankyra;
Aantal per volume Fytopl. - bloeisoort (50) Eudorina;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (50) Eudorina;
Aantal per volume Fytopl. - bloeisoort (17-18) Prymnesium;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (17-18) Prymnesium;
Aantal per volume Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (06) Stephanodiscus hantzschii;
Aantal per volume Fytopl. - bloeisoort (16) Anabaenopsis;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (16) Anabaenopsis;
Aantal per volume Fytopl. - bloeisoort (33) Pyramimonas;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (33) Pyramimonas;
Aantal per volume Fytopl. - bloeisoort (42) Chaetoceros;3;1F;1F3 Aantal per volume Fytopl. - bloeisoort (42) Chaetoceros;
