"Identificatie";"Namespace";"Omschrijving";"GeometriePunt.X_RD";"GeometriePunt.Y_RD";"KRWwatertype.code";"LigtInGeoobject.identificatie";"HoortBijGeoobject.identificatie";"Wegingsfactor";"jaar"
"KVV001_FPA_2012";"NL11";"dummyMeetpuntVoorToetsing";118995;486352;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.716385784290654;2012
"KVV001_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";118995;486352;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.716385784290654;2016
"KVV002_FPA_2022";"NL11";"dummyMeetpuntVoorToetsing";119428;487032;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.716385784290654;2022
"ADM067_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";118096;485151;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;2016
"ADM082_FPA_2022";"NL11";"dummyMeetpuntVoorToetsing";118777;487667;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;2022
"ADM022_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";122202.2063;487230.8989;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0446252171333689;2016
"ADM022_FPA_2022";"NL11";"dummyMeetpuntVoorToetsing";122202.2063;487230.8989;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0446252171333689;2022
"ADM026_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";124493;486619;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;2016
"ADM026_FPA_2022";"NL11";"dummyMeetpuntVoorToetsing";124493;486619;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;2022
"SIN004_FPA_2012";"NL11";"dummyMeetpuntVoorToetsing";123243.0475;486260.6513;"M6b";"nietNodig";"NL11_Amstellandboezem";0.178182888178771;2012
"AMS023_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";123185;486261;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0890914440893855;2016
"NDP001_FPA_2016";"NL11";"dummyMeetpuntVoorToetsing";125604;486436;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0890914440893855;2016
"AMS010_FPA_2009";"NL11";"dummyMeetpuntVoorToetsing";121688;482650;"M6b";"nietNodig";"NL11_Amstellandboezem";0.158884341207323;2009
"WTV002_FPA_2012";"NL11";"dummyMeetpuntVoorToetsing";124856;483339;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0794421706036614;2012
"AMS010_FPA_2012";"NL11";"dummyMeetpuntVoorToetsing";121688;482650;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0794421706036614;2012
