"Identificatie";"Namespace";"Omschrijving";"GeometriePunt.X_RD";"GeometriePunt.Y_RD";"KRWwatertype.code";"LigtInGeoobject.identificatie";"HoortBijGeoobject.identificatie";"Wegingsfactor";"jaar"
"SIN105_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";120556;486266;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.716385784290654;"2009"
"ADM103_MEA_2012";"NL11";"dummyMeetpuntVoorToetsing";118433;484388;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.716385784290654;"2012"
"SIN104_MEA_2016";"NL11";"dummyMeetpuntVoorToetsing";120386;486463;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.358192892145327;"2016"
"ADM122_MEA_2016";"NL11";"dummyMeetpuntVoorToetsing";118606;485163;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.358192892145327;"2016"
"ADM012_MEA_2022";"NL11";"dummyMeetpuntVoorToetsing";118514;484707;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.358192892145327;"2022"
"SIN104_MEA_2022";"NL11";"dummyMeetpuntVoorToetsing";120386;486463;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.358192892145327;"2022"
"ADM100_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";117132;487844;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;"2009"
"ADM100_MEA_2012";"NL11";"dummyMeetpuntVoorToetsing";117132;487844;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;"2012"
"ADM100_MEA_2016";"NL11";"dummyMeetpuntVoorToetsing";117132;487844;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;"2016"
"ADM100_MEA_2022";"NL11";"dummyMeetpuntVoorToetsing";117132;487844;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.13979557994722;"2022"
"ADM022_MEA_2016";"NL11";"dummyMeetpuntVoorToetsing";122202.2063;487230.8989;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0446252171333689;"2016"
"ADM022_MEA_2022";"NL11";"dummyMeetpuntVoorToetsing";122202.2063;487230.8989;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0446252171333689;"2022"
"ADM102_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";125040.1323;486635.3156;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;"2009"
"ADM102_MEA_2012";"NL11";"dummyMeetpuntVoorToetsing";125040.1323;486635.3156;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;"2012"
"ADM102_MEA_2016";"NL11";"dummyMeetpuntVoorToetsing";125040.1323;486635.3156;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;"2016"
"ADM102_MEA_2022";"NL11";"dummyMeetpuntVoorToetsing";125040.1323;486635.3156;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0991934186287569;"2022"
"ZAK001_MEA_2006";"NL11";"dummyMeetpuntVoorToetsing";119596;484128;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0593942960595903;"2006"
"RWM100_MEA_2006";"NL11";"dummyMeetpuntVoorToetsing";125300.2117;485655.1858;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0593942960595903;"2006"
"SIN001_MEA_2006";"NL11";"dummyMeetpuntVoorToetsing";120584;486134;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0593942960595903;"2006"
"ZAK001_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";119596;484128;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0890914440893855;"2009"
"SIN001_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";120584;486134;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0890914440893855;"2009"
"AMS103_MEA_2006";"NL11";"dummyMeetpuntVoorToetsing";121821;481584;"M6b";"nietNodig";"NL11_Amstellandboezem";0.158884341207323;"2006"
"WTV002_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";124856;483339;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0529614470691076;"2009"
"ADM101_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";122762;483600;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0529614470691076;"2009"
"AMS103_MEA_2009";"NL11";"dummyMeetpuntVoorToetsing";121821;481584;"M6b";"nietNodig";"NL11_Amstellandboezem";0.0529614470691076;"2009"
