"Identificatie";"Namespace";"Omschrijving";"GeometriePunt.X_RD";"GeometriePunt.Y_RD";"KRWwatertype.code";"LigtInGeoobject.identificatie";"HoortBijGeoobject.identificatie";"Wegingsfactor";"jaar"
"ADM012_PTN_2006";"NL11";"dummyMeetpuntVoorToetsing";118514;484707;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.143277156858131;"2006"
"KVV001_PTN_2006";"NL11";"dummyMeetpuntVoorToetsing";118995;486352;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.143277156858131;"2006"
"SIN103_PTN_2006";"NL11";"dummyMeetpuntVoorToetsing";120038;487372;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.143277156858131;"2006"
"ADM144_PTN_2006";"NL11";"dummyMeetpuntVoorToetsing";120401;486411;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.143277156858131;"2006"
"ADM142_PTN_2006";"NL11";"dummyMeetpuntVoorToetsing";121980;486376;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.143277156858131;"2006"
"SIN103_PTN_2012";"NL11";"dummyMeetpuntVoorToetsing";120038;487372;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.238795261430218;"2012"
"KVV100_PTN_2012";"NL11";"dummyMeetpuntVoorToetsing";120021;488196;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.238795261430218;"2012"
"SIN104_PTN_2012";"NL11";"dummyMeetpuntVoorToetsing";120386;486463;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.238795261430218;"2012"
"ADM004_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";121710;487444;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"KVV100_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";120021;488196;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM148_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";119269;488173;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM127_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";120771;487158;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM151_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";121137;486540;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM019_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";122377;486180;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"SIN104_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";120386;486463;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM142_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";121980;486376;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM012_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";118514;484707;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"SIN103_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";120038;487372;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"KVV001_PTN_2016";"NL11";"dummyMeetpuntVoorToetsing";118995;486352;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0651259803900594;"2016"
"ADM004_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";121710;487444;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM148_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";119269;488173;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM142_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";121980;486376;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM127_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";120771;487158;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"SIN104_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";120386;486463;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"KVV100_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";120021;488196;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM019_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";122377;486180;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"KVV001_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";118995;486352;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM149_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";121112;486180;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM070_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";121663;487006;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM012_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";118514;484707;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM011_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";121386;488011;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM056_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";119772;486787;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
"ADM073_PTN_2019";"NL11";"dummyMeetpuntVoorToetsing";122788;486850;"M6b";"nietNodig";"NL11_VaartenAmsterdam";0.0447741115181659;"2019"
