Identificatie;Namespace;Omschrijving;GeometriePunt.X_RD;GeometriePunt.Y_RD;KRWwatertype.code
1010-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
1020-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
1030-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M3
1050-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M3
1060-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
2010-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2010-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2020-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
2030-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
2040-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M11
2050-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2100-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-4;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-5;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2110-EAG-6;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2120-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2120-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M3
2130-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2130-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2130-EAG-4;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2140-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2140-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2140-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M25
2140-EAG-4;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2140-EAG-5;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2140-EAG-6;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2150-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2150-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2150-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2160-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2200-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M10
2210-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M30
2220-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2220-EAG-4;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2220-EAG-5;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2220-EAG-6;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2220-EAG-7;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2230-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2230-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M1a
2240-EAG-1;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2250-EAG-2;NL11;dummyMeetpuntVoorToetsing;123456;654321;M30
2250-EAG-3;NL11;dummyMeetpuntVoorToetsing;123456;654321;M8
2250-EAG-4;NL11;dummyMeetpuntVoorToetsing;123456;654321;M30
2250-EAG-5;NL11;dummyMeetpuntVoorToetsing;123456;654321;M30
