"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"1";"ABC012";126160;476841;"2000-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie ABC012.";0.692712195639367;-0.0455841417836655
"2";"AVO024";132611.1984;478880.2062;"6540-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie AVO024.";0.0723049255960279;-0.122546919637583
"3";"AVO027";130242;479560;"6540-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie AVO027.";0.431892459643516;-0.0580716136260413
"4";"AVW005";129963;479456;"6450-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie AVW005.";0.774618313836374;-0.016124975047917
"5";"AVW007";129967;479521;"6490-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie AVW007.";0.0500999779123128;-0.129620529208513
"6";"BBO001";129390;473899;"6430-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BBO001.";0.605463187122038;-0.0290646052453885
"7";"BBO003";127696;474642;"2330-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BBO003.";0.156190829823878;-0.0904737432086234
"8";"BER001";124423.2177;489097.101;"6060-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BER001.";0.00185204976897517;0.180229297113946
"9";"BGP004";129893;481988;"6530-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BGP004.";0.574321972026617;-0.031464243631322
"10";"BKP001";120197;476127;"2120-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BKP001.";0.000646512580818656;0.187836265255891
"11";"BLM001";127958;481664;"2210-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BLM001.";0.524565946242097;0.0350169016176737
"12";"BLW005";123182;478922;"2250-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie BLW005.";0.0162935981109514;0.131997130661733
"13";"BNB006";115228;467845;"2625-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BNB006.";0.276032220876324;0.145152711310754
"14";"BNN001";138115;479727;"4120-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BNN001.";0.385032278195937;-0.0576415621919442
"15";"BOP024";136577.7367;480663.2984;"4110-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BOP024.";0.158048810845818;-0.0790178876359375
"16";"BOT001";123491;473168;"2550-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BOT001.";0.0676127002800192;0.0945644130055936
"17";"BOT002";123338;473756;"2550-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BOT002.";0.460168732687256;0.0382426156395661
"18";"BOT007";123271;474574;"2550-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie BOT007.";0.00337413675516639;-0.168348184585355
"19";"BOT009";124265;475237;"2560-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BOT009.";0.0399421594504629;0.108824161082527
"20";"BOT011";123431;475423;"2550-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie BOT011.";0.0118681086127553;0.139571597570721
"21";"BPN002";132315.0427;482715.3656;"3040-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BPN002.";0.548110248933616;0.0385548749920017
"22";"BRE006";128287.5719;466451.7931;"6460-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BRE006.";0.480697908634577;-0.0510966467912165
"23";"BRE010";128296;464137;"6570-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BRE010.";0.671244257144557;0.0809039834955891
"24";"BTP001";131756;463179;"3311-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BTP001.";0.770280132046849;0.0167912211259285
"25";"BTV003";122142;483209;"2100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BTV003.";0.269212104826978;0.0610741300647286
"26";"BWW001";128144.1823;466442.8906;"6440-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie BWW001.";0.960535896517984;0.0031757824377648
"27";"BZP001";126404;476872;"2230-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie BZP001.";0.277832028891194;0.0599268598422754
"28";"DMP001";128381;483863;"2010-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie DMP001.";0.771537693559844;-0.0160497796958193
"29";"DMP020";125934;484405;"2010-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie DMP020.";0.000707585639068501;-0.221331500457943
"30";"ERP002";118462;487660;"1010-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie ERP002.";0.127218558421777;-0.0982384018150698
"31";"FVP003";125037;485712;"2020-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie FVP003.";0.0476425887554907;-0.128565716709215
"32";"GGP020";128624;480275;"2220-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GGP020.";2.47529318784144e-10;0.337796397301121
"33";"GGP050";128364;479933;"2220-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GGP050.";0.0427983640139237;-0.1102391379483
"34";"GGP052";128364;479933;"2220-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GGP052.";0.0174443188126794;-0.189734883964983
"35";"GGP054";128364;479933;"2220-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GGP054.";0.708798512728291;-0.0306694319042233
"36";"GGP056";128364;479933;"2220-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GGP056.";0.341288611843893;0.0848329171285443
"37";"GGP057";128364;479933;"2220-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GGP057.";0.00606654291140276;-0.221421189106245
"38";"GHO001";131307.7456;463007.445;"3301-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GHO001.";0.3104160568619;-0.101022895328021
"39";"GSW002";128859;480426;"2310-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GSW002.";0.511093410707673;0.0365814671352634
"40";"GSZ015";130474;480114;"3050-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GSZ015.";0.0166201817481287;-0.184250124137935
"41";"GWV001";126655;470083;"2501-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie GWV001.";0.00464018139918815;-0.14913048752351
"42";"GWV010";126697;470310;"2500-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie GWV010.";0.499230122719593;0.0592476446698659
"43";"GWV024";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV024.";0.000119790083714661;0.331947275149095
"44";"GWV025";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV025.";4.85265605929613e-11;0.569555519456718
"45";"GWV028";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV028.";2.35788013051492e-07;0.482080354390661
"46";"GWV030";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV030.";2.94287139569252e-07;0.480312145477231
"47";"GWV032";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV032.";6.46660479808042e-10;0.505474293896884
"48";"GWV079";125290;470063;"2500-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie GWV079.";8.29773768563919e-12;-0.37053751708138
"49";"GWV081";126016;471109;"2500-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie GWV081.";0.000614850992016819;-0.192299078511291
"50";"GWV092";125237;473477;"2500-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie GWV092.";0.0400934368018212;0.116180106787228
