"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"1";"ABC012";126160;476841;"2000-EAG-4";"Ntot blijft gelijk in de tijd op meetlocatie ABC012.";0.630267042793097;-0.0550524615487519
"2";"AVO024";132611.1984;478880.2062;"6540-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie AVO024.";0.780436469583679;-0.0167216982998781
"3";"AVO027";130242;479560;"6540-EAG-3";"Ntot blijft gelijk in de tijd op meetlocatie AVO027.";0.438106772401466;-0.0513703716126276
"4";"AVW005";129963;479456;"6450-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie AVW005.";0.908994773119963;0.00587474485447834
"5";"AVW007";129967;479521;"6490-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie AVW007.";0.205004093288563;-0.0734390657174651
"6";"BBO001";129390;473899;"6430-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BBO001.";0.00482089671341915;-0.144556384744705
"7";"BBO003";127696;474642;"2330-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BBO003.";0.409032094604456;-0.047884305984567
"8";"BER001";124423.2177;489097.101;"6060-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BER001.";0.970267956584962;-0.00199466920826481
"9";"BGP004";129893;481988;"6530-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BGP004.";0.126534715692433;-0.0786022101709154
"10";"BKP001";120197;476127;"2120-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BKP001.";0.0649531600502199;0.0949986042850194
"11";"BLM001";127958;481664;"2210-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BLM001.";0.0826083497567159;-0.0889770599460852
"12";"BLW005";123182;478922;"2250-EAG-4";"Ntot blijft gelijk in de tijd op meetlocatie BLW005.";0.0246405558449992;-0.11462458180864
"13";"BNB006";115228;467845;"2625-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BNB006.";0.590900427765073;-0.0718415452545578
"14";"BNN001";138115;479727;"4120-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BNN001.";0.385055086543436;-0.0527650011072615
"15";"BOP024";136577.7367;480663.2984;"4110-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BOP024.";0.0904448993165145;0.0865444016666614
"16";"BOT001";123491;473168;"2550-EAG-1";"Ntot neemt licht toe in de tijd op meetlocatie BOT001.";0.00434461205652551;0.150898089440018
"17";"BOT002";123338;473756;"2550-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BOT002.";0.0102199459755553;0.135991209551822
"18";"BOT007";123271;474574;"2550-EAG-4";"Ntot blijft gelijk in de tijd op meetlocatie BOT007.";0.0218465235734166;-0.131945275206759
"19";"BOT009";124265;475237;"2560-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BOT009.";0.132913039688391;-0.0772245769143242
"20";"BOT011";123431;475423;"2550-EAG-5";"Ntot blijft gelijk in de tijd op meetlocatie BOT011.";0.11466875123396;-0.0810301063346952
"21";"BPN002";132315.0427;482715.3656;"3040-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BPN002.";0.031858644146249;-0.123803641187173
"22";"BRE006";128287.5719;466451.7931;"6460-EAG-1";"Ntot neemt licht toe in de tijd op meetlocatie BRE006.";0.00464711917289017;0.187931247514977
"23";"BRE010";128296;464137;"6570-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BRE010.";0.715588779706506;-0.0686802819743445
"24";"BTP001";131756;463179;"3311-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BTP001.";0.0907311876411413;-0.08913849427935
"25";"BTV003";122142;483209;"2100-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BTV003.";0.00351293805619232;-0.14958643020583
"26";"BWW001";128144.1823;466442.8906;"6440-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie BWW001.";0.0870126702260632;-0.100083805339089
"27";"BZP001";126404;476872;"2230-EAG-2";"Ntot blijft gelijk in de tijd op meetlocatie BZP001.";0.705201444546508;-0.0192896524758175
"28";"DBR004";115312.4342;488726.8208;"8010-EAG-2";"Ntot blijft gelijk in de tijd op meetlocatie DBR004.";0.737441257143622;-0.0196162920881841
"29";"DMP001";128381;483863;"2010-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie DMP001.";0.923085948425109;-0.00496109237283311
"30";"DMP020";125934;484405;"2010-EAG-2";"Ntot neemt licht af in de tijd op meetlocatie DMP020.";0.000107337046428897;-0.222223361752864
"31";"ERP002";118462;487660;"1010-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie ERP002.";0.182267510545728;0.0762860103804373
"32";"FVP003";125037;485712;"2020-EAG-1";"Ntot blijft gelijk in de tijd op meetlocatie FVP003.";0.809719144002817;0.0137585129565545
"33";"GGP020";128624;480275;"2220-EAG-5";"Ntot neemt toe in de tijd op meetlocatie GGP020.";3.94243812696263e-15;0.393365030445899
"34";"GGP050";128364;479933;"2220-EAG-1";"Ntot neemt af in de tijd op meetlocatie GGP050.";4.71766919546008e-08;-0.288595897422731
