"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"1";"ABC012";126160;476841;"2000-EAG-4";"Ptot blijft gelijk in de tijd op meetlocatie ABC012.";0.386190716165729;-0.10018199095908
"2";"AVO024";132611.1984;478880.2062;"6540-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie AVO024.";0.0874173485631172;0.102746922180706
"3";"AVO027";130242;479560;"6540-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie AVO027.";0.853297449746768;-0.0122237911759799
"4";"AVW005";129963;479456;"6450-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie AVW005.";0.967033275210811;-0.00211093682774548
"5";"AVW007";129967;479521;"6490-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie AVW007.";0.153847515521093;0.0823333905134261
"6";"BBO001";129390;473899;"6430-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BBO001.";0.653548421366192;-0.0229852048807917
"7";"BBO003";127696;474642;"2330-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BBO003.";0.104514990724762;-0.0935816126597756
"8";"BER001";124423.2177;489097.101;"6060-EAG-1";"Ptot neemt toe in de tijd op meetlocatie BER001.";0.0109578791068943;0.133718873930307
"9";"BGP004";129893;481988;"6530-EAG-1";"Ptot neemt af in de tijd op meetlocatie BGP004.";3.59752576950378e-06;-0.238297408247871
"10";"BKP001";120197;476127;"2120-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BKP001.";0.537798751136451;0.0314484456208955
"11";"BLM001";127958;481664;"2210-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BLM001.";0.671255490601776;0.0216070043026069
"12";"BLW005";123182;478922;"2250-EAG-4";"Ptot blijft gelijk in de tijd op meetlocatie BLW005.";0.689854255613301;0.020324081428167
"13";"BNB006";115228;467845;"2625-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BNB006.";0.561514070399515;0.0771654557572532
"14";"BNN001";138115;479727;"4120-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BNN001.";0.178208492217744;0.0801454418404065
"15";"BOP024";136577.7367;480663.2984;"4110-EAG-1";"Ptot neemt toe in de tijd op meetlocatie BOP024.";0.00951008967561606;0.132102793669646
"16";"BOT001";123491;473168;"2550-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BOT001.";0.145690899355187;0.0786095044803689
"17";"BOT002";123338;473756;"2550-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BOT002.";0.105106841862136;0.0872330271064783
"18";"BOT007";123271;474574;"2550-EAG-4";"Ptot neemt toe in de tijd op meetlocatie BOT007.";0.00300965791869756;0.173105869678494
"19";"BOT009";124265;475237;"2560-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BOT009.";0.209908967787112;-0.0641528431800739
"20";"BOT011";123431;475423;"2550-EAG-5";"Ptot neemt af in de tijd op meetlocatie BOT011.";8.62931890441818e-05;-0.200491435976419
"21";"BPN002";132315.0427;482715.3656;"3040-EAG-1";"Ptot neemt af in de tijd op meetlocatie BPN002.";1.80302615544835e-08;-0.320944003331695
"22";"BRE006";128287.5719;466451.7931;"6460-EAG-1";"Ptot neemt toe in de tijd op meetlocatie BRE006.";0.00563695790677567;0.181594048418921
"23";"BRE010";128296;464137;"6570-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BRE010.";0.489783290205332;0.127272727272727
"24";"BTP001";131756;463179;"3311-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BTP001.";0.347034033340911;0.0490281812141543
"25";"BTV003";122142;483209;"2100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie BTV003.";0.000976334037965448;0.167747364210046
"26";"BWW001";128144.1823;466442.8906;"6440-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie BWW001.";0.0833916858513629;0.101065020149527
"27";"BZP001";126404;476872;"2230-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie BZP001.";0.466737170248831;-0.0370875893530232
"28";"DBR004";115312.4342;488726.8208;"8010-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie DBR004.";0.293145837812433;0.0600786798383954
"29";"DMP001";128381;483863;"2010-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie DMP001.";0.65531047975326;0.0227719641786708
"30";"DMP020";125934;484405;"2010-EAG-2";"Ptot neemt af in de tijd op meetlocatie DMP020.";0.0190059978005205;-0.133450553662316
"31";"ERP002";118462;487660;"1010-EAG-1";"Ptot neemt toe in de tijd op meetlocatie ERP002.";2.94707732355409e-05;0.238823892501498
"32";"FVP003";125037;485712;"2020-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie FVP003.";0.391739902962959;0.0485480511758649
"33";"GGP020";128624;480275;"2220-EAG-5";"Ptot neemt toe in de tijd op meetlocatie GGP020.";5.93512204222743e-09;0.289603165651689
"34";"GGP050";128364;479933;"2220-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie GGP050.";0.428923562288563;-0.042734810880405
"35";"GGP052";128364;479933;"2220-EAG-1";"Ptot neemt toe in de tijd op meetlocatie GGP052.";0.00108034691236689;0.23384296662093
"36";"GGP054";128364;479933;"2220-EAG-1";"Ptot neemt toe in de tijd op meetlocatie GGP054.";0.000703026139777056;0.244973926449295
"37";"GGP056";128364;479933;"2220-EAG-1";"Ptot neemt toe in de tijd op meetlocatie GGP056.";0.00086135654134736;0.238071528072074
"38";"GGP057";128364;479933;"2220-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie GGP057.";0.112418171852559;0.101916550896594
"39";"GHO001";131307.7456;463007.445;"3301-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie GHO001.";0.325685652239242;-0.0988865805107624
"40";"GSW002";128859;480426;"2310-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie GSW002.";0.713174977460651;0.0188154743548814
"41";"GSZ015";130474;480114;"3050-EAG-1";"Ptot neemt toe in de tijd op meetlocatie GSZ015.";9.44300252248815e-05;0.25910493363684
"42";"GWV001";126655;470083;"2501-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie GWV001.";0.0915289399110953;0.0868644571640073
"43";"GWV010";126697;470310;"2500-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie GWV010.";0.0761706288101567;0.147714568056645
"44";"GWV024";125237;473477;"2500-EAG-5";"Ptot neemt toe in de tijd op meetlocatie GWV024.";0.000994682364508519;0.236936960979615
"45";"GWV025";125237;473477;"2500-EAG-5";"Ptot neemt toe in de tijd op meetlocatie GWV025.";1.14321269022737e-05;0.318988760388605
"46";"GWV028";125237;473477;"2500-EAG-5";"Ptot neemt toe in de tijd op meetlocatie GWV028.";4.80440415781156e-05;0.295974115375588
"47";"GWV030";125237;473477;"2500-EAG-5";"Ptot neemt toe in de tijd op meetlocatie GWV030.";0.00523661060707598;0.201732084394901
"48";"GWV032";125237;473477;"2500-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie GWV032.";0.122768803230276;0.104331152138637
"49";"GWV079";125290;470063;"2500-EAG-3";"Ptot neemt af in de tijd op meetlocatie GWV079.";1.15959236496425e-06;-0.262395097492014
"50";"GWV081";126016;471109;"2500-EAG-4";"Ptot neemt af in de tijd op meetlocatie GWV081.";0.0401249513734379;-0.111485497129628
"51";"GWV092";125237;473477;"2500-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie GWV092.";0.68357242866833;-0.0220864605177198
"52";"GZK001";149302;476692;"7010-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie GZK001.";0.640919072932594;0.0238765049551409
"53";"HAP001";135513;476633;"4210-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie HAP001.";0.0918613866789391;-0.0866715876755611
"54";"HAP010";134608;476084;"4210-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie HAP010.";0.609078210837401;-0.0270794299380829
"55";"HAP043";134723;476622;"4210-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie HAP043.";0.0842848115496779;0.106542473103133
"56";"HAP048";135526;476185;"4210-EAG-5";"Ptot neemt toe in de tijd op meetlocatie HAP048.";4.23190664342811e-14;0.386247241154421
"57";"HBP001";123644;477217;"2240-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie HBP001.";0.0557948265938307;-0.0970335008826545
"58";"HBP050";123867;478177;"2250-EAG-1";"Ptot neemt af in de tijd op meetlocatie HBP050.";4.65203406448014e-25;-0.515731040170383
"59";"HBP105";123867;478177;"2250-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie HBP105.";0.217064865687247;0.106531919473008
"60";"HBP110";123867;478177;"2250-EAG-1";"Ptot neemt af in de tijd op meetlocatie HBP110.";5.16659852139972e-05;-0.299969402043225
"61";"HBP120";123867;478177;"2250-EAG-1";"Ptot neemt af in de tijd op meetlocatie HBP120.";1.75101119139697e-06;-0.352185444633185
"62";"HBP130";123867;478177;"2250-EAG-1";"Ptot neemt af in de tijd op meetlocatie HBP130.";4.61629466212781e-08;-0.402176371686345
"63";"HBP135";123867;478177;"2250-EAG-1";"Ptot neemt af in de tijd op meetlocatie HBP135.";4.96981140596382e-07;-0.349347621465866
"64";"HGP006";129685;474543;"6480-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie HGP006.";0.768640008834964;-0.0175148463760285
"65";"HHB010";129131;471331;"3070-EAG-1";"Ptot neemt af in de tijd op meetlocatie HHB010.";0.0236129574236252;-0.131265883105729
"66";"HHB014";129514;468708;"3070-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie HHB014.";0.406980926083096;-0.0425221736226366
"67";"HKP001";130715;476018;"3210-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie HKP001.";0.358104937784272;-0.0471405020964406
